district,floating_population,resident_population,households,worker_population,apartment_complexes,apartment_households,apartment_avg_value,vehicles_202607,snapshot,신규,폐업,등록취소,휴업,폐업·등록취소,순증감,quarter
강동구,104025194,456800,202602,51554,5118,48884,289229904,168941,2026-07,0,10,2,12,12,-12,2026Q2
송파구,118166707,653369,285415,409883,9184,83823,357392146,243681,2026-07,2,16,0,7,16,-14,2026Q2
강남구,144021213,539297,237639,1079924,5205,50840,740734978,249192,2026-07,0,17,0,39,17,-17,2026Q2
서초구,98933382,406675,169277,434315,4796,44830,699516368,178144,2026-07,0,13,0,11,13,-13,2026Q2
관악구,126819930,479790,283003,41999,5562,49405,189415238,115273,2026-07,0,5,0,6,5,-5,2026Q2
동작구,78444722,377821,186078,45111,4592,40558,296605721,104754,2026-07,0,4,0,4,4,-4,2026Q2
영등포구,108553795,373300,189447,400232,2283,22120,358498150,141974,2026-07,1,13,1,24,14,-13,2026Q2
금천구,34009296,226388,119576,131583,2628,26783,167945971,89252,2026-07,0,8,0,6,8,-8,2026Q2
구로구,77883763,391809,183638,122194,4656,45768,196628251,139108,2026-07,1,7,0,11,7,-6,2026Q2
강서구,115669953,560995,273059,73335,8285,79583,198685944,202658,2026-07,1,8,0,9,8,-7,2026Q2
양천구,73415003,435645,180421,85678,5830,55336,258455197,147273,2026-07,1,5,0,18,5,-4,2026Q2
마포구,111570753,362701,180459,120344,4902,43443,289648150,119959,2026-07,1,5,1,17,6,-5,2026Q2
서대문구,102231992,305725,146397,35863,4253,37242,236239737,90410,2026-07,0,6,0,4,6,-6,2026Q2
은평구,93019487,466475,215511,31146,9039,79361,187229617,132324,2026-07,1,14,0,9,14,-13,2026Q2
노원구,90337547,498037,217800,28109,3111,32305,264515736,148556,2026-07,0,2,0,11,2,-2,2026Q2
도봉구,59725399,306437,137870,20112,3520,36168,169896516,92634,2026-07,0,8,0,9,8,-8,2026Q2
강북구,86833852,287918,143436,14740,5209,45966,151355915,72081,2026-07,0,7,2,12,9,-9,2026Q2
성북구,119845857,425160,196499,68606,4334,41530,240570167,121754,2026-07,0,5,0,11,5,-5,2026Q2
중랑구,91854597,381547,187708,21334,4059,40239,188352147,114640,2026-07,1,7,0,13,7,-6,2026Q2
동대문구,109493454,340101,171946,50705,2408,24758,276363203,107246,2026-07,0,7,0,16,7,-7,2026Q2
광진구,89248798,334942,169703,56058,4692,41585,240830723,94968,2026-07,0,6,0,20,6,-6,2026Q2
성동구,74944099,276723,132568,73657,1928,18205,459388770,105017,2026-07,0,5,0,3,5,-5,2026Q2
용산구,58689096,212914,107664,176024,3042,23949,578405236,71116,2026-07,0,6,0,0,6,-6,2026Q2
중구,56553393,120961,64443,406487,1081,9497,292261797,48138,2026-07,0,2,0,5,2,-2,2026Q2
종로구,66568344,138891,71657,223590,2336,17824,271719514,49556,2026-07,0,2,0,6,2,-2,2026Q2
