station_name,address,district,telephone,download_gasoline_price,download_diesel_price
㈜동화오일 대원주유소,서울 광진구 용마산로 122 (중곡동),광진구,02-455-5185,1830,1804
㈜원천주유소,서울 성북구 돌곶이로 142,성북구,070-4001-2057,1835,1819
이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),성북구,02-953-1448,1840,1819
㈜삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),성북구,02-914-6556,1840,1819
㈜명연에너지 효성주유소,서울 성북구 화랑로 27,성북구,02-942-5150,1845,1825
지에스칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),성북구,02-921-7785,1878,1858
지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,성북구,02-942-5152,1920,1889
㈜북악주유소,서울 종로구 평창문화로 137,종로구,02-395-6500,2289,2249
(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65,종로구,02-735-4858,2385,2365
신월주유소,서울 양천구 신월로 193,양천구,02-2602-5182,1799,1789
더지엘에너지㈜ 목동지점,서울 양천구 안양천로 1171,양천구,02-2061-5108,1849,1848
㈜삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),양천구,02-2654-5153,1849,1837
남정주유소,서울 서대문구 모래내로 243 (남가좌동),서대문구,02-305-9828,1879,1869
지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),강동구,02-426-5372,1879,1869
(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),강동구,02-479-3838,1888,1868
㈜삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),강동구,02-441-3327,1894,1893
대성석유(주)길동주유소,서울 강동구 천호대로 1168,강동구,02-474-7222,1896,1896
GS칼텍스㈜ 서계주유소,서울 용산구  청파로 367,용산구,02-701-3335,1914,1900
(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),용산구,02-719-2202,2098,2088
지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,성동구,02-463-6919,1857,1869
동일주유소,서울 성동구 광나루로 254 (성수동2가),성동구,02-461-7100,1967,1959
금호주유소,서울 성동구 금호로 39 (금호동4가),성동구,02-2297-0066,2295,2193
(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),성동구,02-2282-5151,2321,2231
지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),서초구,02-592-4915,1854,1860
서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),서초구,02-523-5551,1865,1849
반포그린주유소,서울 서초구 서초중앙로 239,서초구,02-532-5147,1865,1855
(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),서초구,02-582-5198,1865,1849
말죽거리주유소,서울 서초구 남부순환로 2650,서초구,02-579-9933,1866,1856
에너지 플러스 허브 내곡,서울 서초구 헌릉로 210,서초구,02-3461-5145,1869,1862
대성산업(주)직영 강남주유소,서울 서초구 반포대로 284 (반포동),서초구,02-594-5987,1875,1865
에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),서초구,02-536-5145,1878,1872
대성석유(주)연일주유소,서울 서초구 남부순환로 2451,서초구,02-3471-5151,1886,1886
지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),서초구,02-542-1517,1888,1872
대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),서초구,02-535-3001,1899,1899
대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),동대문구,02-966-5451,1845,1825
(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),영등포구,02-841-8780,1825,1814
㈜신길에너지 신길주유소,서울 영등포구 신길로 74 (신길동),영등포구,02-833-1113,1859,1839
(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),영등포구,02-2633-2716,1865,1865
지에스칼텍스㈜ 화일주유소,서울 영등포구 도림로 415,영등포구,02-2633-5546,1878,1862
지에스칼텍스(주) 한양주유소,서울 영등포구 국회대로 665,영등포구,02-2635-7781,1920,1900
SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,영등포구,02-785-8201,2235,2195
개봉주유소,서울 구로구 고척로 115 (개봉동),구로구,02-2618-5145,1819,1798
(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),구로구,02-861-5189,1843,1833
대성산업(주)디큐브주유소,서울 구로구 경인로 650,구로구,02-2633-7188,1859,1829
지에스칼텍스㈜ 개봉동주유소,서울 구로구 경인로 290,구로구,02-2685-5189,1870,1872
구로주유소,서울 구로구 구로동로 137 (구로동),구로구,02-857-1251,2320,2250
서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),관악구,02-877-0867,1855,1835
지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,관악구,02-858-2003,1886,1866
CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),관악구,02-2632-8612,2048,2028
서울이엔지㈜ 이월주유소,서울 송파구 송이로 28,송파구,02-425-5125,1835,1825
지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),송파구,02-409-5185,1853,1849
지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,송파구,02-409-5145,1868,1864
㈜삼표에너지 아시아주유소,서울 송파구 도곡로 438 (잠실동),송파구,02-416-1911,1869,1852
삼화주유소,서울 송파구 백제고분로 125,송파구,02-2203-2280,1869,1852
㈜삼표에너지 훼미리주유소,서울 송파구 중대로 58,송파구,02-448-9252,1884,1863
㈜삼표에너지 우리주유소,서울 송파구 동남로 153,송파구,02-3401-1588,1894,1863
대성석유(주)석촌주유소,서울 송파구 백제고분로 289,송파구,02-421-0051,1897,1897
대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),금천구,02-805-7888,1835,1825
지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),강남구,02-539-5145,1878,1872
방죽주유소,서울 강남구 밤고개로 215 (율현동),강남구,02-459-3434,1897,1889
지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,강남구,02-3452-1882,1898,1872
(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,강남구,02-565-0267,2338,2248
이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),노원구,02-973-5172,1835,1839
월계주유소,서울 노원구 월계로 252,노원구,02-917-7650,1874,1863
(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,노원구,02-3392-5656,1893,1892
광운대역주유소,서울특별시 노원구  광운로 95 (월계1동),,02-919-8141,1898,1898
우림주유소,서울 중랑구 용마산로 487 (망우제3동),중랑구,02-433-9990,1830,1804
대양주유소,서울 중랑구 봉우재로 105 (상봉동),중랑구,02-437-5457,1830,1804
대원주유소,서울 중랑구 동일로 600,중랑구,02-438-6111,1830,1804
서정주유소,서울 은평구 통일로 968 (진관동),은평구,02-352-4451,1844,1827
대성산업㈜ 대성주유소,서울 은평구 통일로 642,은평구,02-355-3434,1864,1847
지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),은평구,02-309-5051,1920,1869
필동주유소,서울 중구 퇴계로 196,중구,02-2267-8025,2488,2478
강서열린주유소,서울 강서구 등촌로 213 (등촌동),강서구,02-2647-9091,1868,1848
박물관주유소,서울 강서구 양천로53길 97 (가양동),강서구,02-3665-5189,1868,1848
대성석유(주)방화대성주유소,서울 강서구 양천로 176,강서구,02-3663-7781,1875,1859
대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,강서구,02-3664-7781,1875,1858
대성석유(주) 관문주유소,서울 강서구 공항대로 314,강서구,02-3665-2051,1879,1877
대성석유㈜ 대성주유소,서울 강서구 강서로 472,강서구,02-3661-6102,1895,1878
수유동주유소,서울 강북구 도봉로 395 (수유동),강북구,02-902-9470,1874,1864
대성석유(주)신광주유소,서울 강북구 삼양로 484,강북구,02-908-3320,1889,1869
