상권_코드,상권_코드_명,상권_구분_코드_명,floating_population,resident_population,households,worker_population,apartment_complexes,apartment_avg_value,store_auto_beauty,store_auto_repair,store_gas_station,store_convenience,sales_auto_beauty,sales_auto_repair,sales_convenience,population_quarter,commercial_quarter
3001496,강남 마이스 관광특구,관광특구,107933,34.0,25.0,102032.0,,,1.0,0.0,0.0,3.0,0.0,0.0,6101896107.0,2026Q2,2025Q4
3001495,잠실 관광특구,관광특구,4811547,11144.0,7648.0,137602.0,27.0,593103143.0,0.0,7.0,2.0,21.0,0.0,586677396.0,13471964772.0,2026Q2,2025Q4
3001494,종로?청계 관광특구,관광특구,8284977,1767.0,1511.0,46516.0,3.0,159296970.0,0.0,0.0,0.0,9.0,0.0,0.0,5098542853.0,2026Q2,2025Q4
3001493,동대문패션타운 관광특구,관광특구,2895399,2787.0,1893.0,33754.0,2.0,525833333.0,2.0,1.0,0.0,6.0,0.0,0.0,5387933448.0,2026Q2,2025Q4
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,7367247,952.0,416.0,199667.0,,,1.0,0.0,0.0,30.0,0.0,0.0,17880894047.0,2026Q2,2025Q4
3001491,이태원 관광특구,관광특구,2110363,3924.0,2533.0,35826.0,53.0,448610798.0,1.0,0.0,0.0,4.0,0.0,0.0,5443233163.0,2026Q2,2025Q4
3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",전통시장,57684,3.0,3.0,894.0,,,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130326,고덕 골목형상점가,전통시장,92287,1760.0,785.0,278.0,2.0,619557576.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130325,명일전통시장,전통시장,240089,1773.0,689.0,377.0,5.0,291791515.0,0.0,0.0,0.0,1.0,,,,2026Q2,2025Q4
3130324,길동복조리시장,전통시장,554465,1067.0,495.0,147.0,17.0,207670108.0,0.0,1.0,0.0,0.0,,,,2026Q2,2025Q4
3130323,둔촌역전통시장,전통시장,284487,1393.0,722.0,262.0,29.0,186899937.0,0.0,0.0,0.0,0.0,0.0,0.0,56834174.0,2026Q2,2025Q4
3130322,고분다리전통시장,전통시장,106273,658.0,409.0,82.0,9.0,198120222.0,,,,,,,,2026Q2,2025Q4
3130321,장신구 특화거리 상점가,전통시장,454863,1388.0,668.0,1249.0,35.0,207652176.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130320,암사종합시장,전통시장,253961,952.0,567.0,989.0,16.0,166468131.0,0.0,1.0,0.0,0.0,,,,2026Q2,2025Q4
3130319,성내전통시장,전통시장,638126,1160.0,645.0,95.0,11.0,172110626.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130318,로데오거리상점가,전통시장,545650,751.0,647.0,625.0,1.0,109545455.0,2.0,0.0,0.0,2.0,0.0,0.0,1719712713.0,2026Q2,2025Q4
3130317,마천중앙시장,전통시장,585633,956.0,526.0,212.0,10.0,294077652.0,1.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130316,마천시장,전통시장,72593,94.0,56.0,69.0,,,,,,,,,,2026Q2,2025Q4
3130315,문정동 로데오거리 상점가(문정동 로데오거리),전통시장,598938,1138.0,638.0,7986.0,19.0,251691439.0,1.0,3.0,0.0,0.0,0.0,603346592.0,0.0,2026Q2,2025Q4
3130314,풍납시장,전통시장,1125995,3013.0,1633.0,567.0,28.0,189310025.0,2.0,0.0,0.0,1.0,0.0,0.0,89393839.0,2026Q2,2025Q4
3130313,방이시장,전통시장,1036063,5071.0,2755.0,3965.0,184.0,226895191.0,2.0,0.0,1.0,2.0,0.0,0.0,920298433.0,2026Q2,2025Q4
3130312,석촌시장,전통시장,270507,899.0,552.0,739.0,17.0,232257873.0,3.0,1.0,0.0,0.0,,,,2026Q2,2025Q4
3130311,새마을시장,전통시장,846266,2557.0,1691.0,1020.0,48.0,231093561.0,0.0,0.0,0.0,1.0,0.0,0.0,245064223.0,2026Q2,2025Q4
3130310,강남개포시장,전통시장,141670,120.0,105.0,5643.0,,,0.0,1.0,0.0,2.0,0.0,0.0,301660915.0,2026Q2,2025Q4
3130309,은마종합상점가,전통시장,34870,537.0,170.0,1533.0,1.0,1543083333.0,,,,,,,,2026Q2,2025Q4
3130308,청담삼익시장,전통시장,41892,,,,,,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130307,도곡시장,전통시장,63237,33.0,11.0,149.0,1.0,469000000.0,,,,,,,,2026Q2,2025Q4
3130306,강남언주로,전통시장,246551,356.0,250.0,940.0,4.0,224923611.0,0.0,0.0,0.0,0.0,,,,2026Q2,2025Q4
3130305,논현종합시장,전통시장,28089,90.0,52.0,137.0,3.0,587454545.0,,,,,,,,2026Q2,2025Q4
3130304,신사상가,전통시장,19836,,,128.0,,,,,,,,,,2026Q2,2025Q4
3130303,영동전통시장,전통시장,361718,987.0,679.0,996.0,16.0,254237753.0,0.0,1.0,0.0,0.0,,,,2026Q2,2025Q4
3130302,강남시장(강남구 강남시장),전통시장,49563,252.0,105.0,97.0,1.0,337500000.0,,,,,,,,2026Q2,2025Q4
